id,peer,recomended_peer
1,joramuns,jeanicet
2,joramuns,howieter
3,joramuns,sallieam
4,joramuns,butterbs
5,joramuns,tangleto
6,joramuns,squintad
7,joramuns,jolteona
8,joramuns,kokoschk
9,joramuns,santobab
10,jeanicet,squintad
11,jeanicet,jolteona
12,jeanicet,kokoschk
13,howieter,sallieam
14,howieter,butterbs
15,howieter,santobab
16,sallieam,butterbs
17,sallieam,santobab
18,butterbs,tangleto
19,butterbs,santobab
20,tangleto,squintad
21,tangleto,santobab
22,squintad,jolteona
23,jolteona,kokoschk
24,jolteona,santobab
25,kokoschk,santobab
